Hour,Segment,Pivot Hits,TP1 Hits,TP1 %,TP2 Hits,TP2 %
00:00,00-20,838,636,75.89498806682577,438,52.2673031026253
00:00,20-40,236,117,49.57627118644068,58,24.576271186440678
00:00,40-60,111,27,24.324324324324326,12,10.81081081081081
01:00,00-20,984,695,70.630081300813,477,48.47560975609756
01:00,20-40,215,98,45.58139534883721,58,26.976744186046513
01:00,40-60,141,32,22.69503546099291,14,9.929078014184398
02:00,00-20,937,651,69.47705442902881,430,45.89114194236926
02:00,20-40,244,93,38.114754098360656,39,15.983606557377051
02:00,40-60,126,19,15.079365079365079,5,3.968253968253968
03:00,00-20,807,566,70.1363073110285,327,40.520446096654275
03:00,20-40,202,75,37.12871287128713,30,14.85148514851485
03:00,40-60,100,16,16.0,4,4.0
04:00,00-20,687,511,74.38136826783115,311,45.26928675400291
04:00,20-40,161,70,43.47826086956522,31,19.25465838509317
04:00,40-60,87,9,10.344827586206897,4,4.597701149425287
05:00,00-20,681,491,72.09985315712188,296,43.4654919236417
05:00,20-40,187,88,47.05882352941176,38,20.32085561497326
05:00,40-60,92,22,23.91304347826087,7,7.608695652173914
06:00,00-20,758,570,75.19788918205805,366,48.284960422163586
06:00,20-40,192,84,43.75,41,21.354166666666664
06:00,40-60,105,21,20.0,9,8.571428571428571
07:00,00-20,1011,777,76.8545994065282,613,60.633036597428294
07:00,20-40,346,178,51.445086705202314,117,33.81502890173411
07:00,40-60,89,20,22.47191011235955,7,7.865168539325842
08:00,00-20,1035,744,71.8840579710145,449,43.38164251207729
08:00,20-40,308,138,44.8051948051948,57,18.506493506493506
08:00,40-60,186,34,18.27956989247312,12,6.451612903225806
09:00,00-20,768,491,63.932291666666664,292,38.02083333333333
09:00,20-40,137,49,35.76642335766424,20,14.5985401459854
09:00,40-60,96,12,12.5,3,3.125
10:00,00-20,677,453,66.91285081240767,231,34.12112259970458
10:00,20-40,144,55,38.19444444444444,16,11.11111111111111
10:00,40-60,90,9,10.0,0,0.0
11:00,00-20,574,388,67.59581881533101,207,36.062717770034844
11:00,20-40,116,51,43.96551724137931,17,14.655172413793101
11:00,40-60,71,4,5.633802816901409,1,1.4084507042253522
12:00,00-20,625,440,70.39999999999999,255,40.8
12:00,20-40,170,80,47.05882352941176,34,20.0
12:00,40-60,75,3,4.0,3,4.0
13:00,00-20,724,499,68.92265193370166,288,39.77900552486188
13:00,20-40,166,68,40.963855421686745,21,12.650602409638553
13:00,40-60,72,12,16.666666666666664,1,1.3888888888888888
14:00,00-20,575,436,75.82608695652175,261,45.391304347826086
14:00,20-40,136,65,47.794117647058826,29,21.323529411764707
14:00,40-60,108,21,19.444444444444446,6,5.555555555555555
15:00,00-20,693,473,68.25396825396825,271,39.105339105339105
15:00,20-40,142,44,30.985915492957744,19,13.380281690140844
15:00,40-60,116,17,14.655172413793101,2,1.7241379310344827
16:00,00-20,195,91,46.666666666666664,49,25.128205128205128
16:00,20-40,0,0,0.0,0,0.0
16:00,40-60,0,0,0.0,0,0.0
17:00,00-20,797,493,61.85696361355082,368,46.17314930991217
17:00,20-40,59,26,44.06779661016949,21,35.59322033898305
17:00,40-60,36,8,22.22222222222222,4,11.11111111111111
18:00,00-20,945,697,73.75661375661376,421,44.55026455026455
18:00,20-40,231,110,47.61904761904761,55,23.809523809523807
18:00,40-60,142,23,16.19718309859155,10,7.042253521126761
19:00,00-20,913,613,67.14129244249726,460,50.38335158817087
19:00,20-40,150,87,57.99999999999999,60,40.0
19:00,40-60,91,18,19.78021978021978,10,10.989010989010989
20:00,00-20,976,664,68.0327868852459,460,47.13114754098361
20:00,20-40,201,80,39.800995024875625,34,16.91542288557214
20:00,40-60,96,13,13.541666666666666,1,1.0416666666666665
21:00,00-20,713,522,73.21178120617111,288,40.39270687237027
21:00,20-40,159,60,37.735849056603776,18,11.320754716981133
21:00,40-60,114,20,17.543859649122805,4,3.508771929824561
22:00,00-20,598,419,70.06688963210702,235,39.297658862876254
22:00,20-40,153,73,47.712418300653596,35,22.875816993464053
22:00,40-60,76,11,14.473684210526317,6,7.894736842105263
23:00,00-20,656,502,76.52439024390245,320,48.78048780487805
23:00,20-40,195,95,48.717948717948715,52,26.666666666666668
23:00,40-60,114,19,16.666666666666664,5,4.385964912280701
