Hour,Segment,Pivot Hits,TP1 Hits,TP1 %,TP2 Hits,TP2 %
00:00,00–59,766,640,83.5509138381201,478,62.40208877284596
00:00,120–179,169,72,42.60355029585799,33,19.526627218934912
00:00,180-239,84,16,19.047619047619047,8,9.523809523809524
00:00,60–119,284,185,65.14084507042254,133,46.83098591549296
04:00,00–59,805,702,87.20496894409938,480,59.62732919254658
04:00,120–179,186,112,60.215053763440864,72,38.70967741935484
04:00,180-239,324,104,32.098765432098766,56,17.28395061728395
04:00,60–119,202,140,69.3069306930693,90,44.554455445544555
08:00,00–59,1087,818,75.25298988040478,521,47.93008279668813
08:00,120–179,79,22,27.848101265822784,8,10.126582278481013
08:00,180-239,32,3,9.375,0,0.0
08:00,60–119,215,98,45.58139534883721,55,25.581395348837212
12:00,00–59,580,418,72.06896551724138,153,26.379310344827587
12:00,120–179,89,25,28.08988764044944,3,3.3707865168539324
12:00,180-239,24,1,4.166666666666666,0,0.0
12:00,60–119,160,72,45.0,33,20.625
16:00,00–59,44,35,79.54545454545455,14,31.818181818181817
16:00,120–179,81,34,41.9753086419753,18,22.22222222222222
16:00,180-239,70,19,27.142857142857142,9,12.857142857142856
16:00,60–119,312,223,71.47435897435898,123,39.42307692307692
20:00,00–59,715,520,72.72727272727273,326,45.59440559440559
20:00,120–179,43,13,30.23255813953488,6,13.953488372093023
20:00,180-239,54,8,14.814814814814813,2,3.7037037037037033
20:00,60–119,117,50,42.73504273504273,23,19.65811965811966
